text_es,translation
"Los traidores. Siempre que se habla de la elocuencia de los ojos, me vienen a la memoria dos miradas que jamás podré olvidar.","Traidoreak. Beti aipatzen denean begien argitasunaz, nire oroimenera etortzen zaizkit inoiz ahaztuko ez ditudan bi begirada."
"Andalusa /Pero, ¿en qué creías que estabas, insensato?","Andalusa / Baina, zertan uste zenuen zindoazela, burugabe hori?"
Enriqueta me responde. ¿Te lo crees?,Enriquetak erantzuten dit. Sinesten al duzu?
"Debido a estas investigaciones, que he llevado a cabo con gran dedicación, me he ganado muchas enemistades, tan grandes y tan peligrosas, que de ellas han surgido numerosas calumnias, junto con la reputación de sabio. Porque la gente piensa que yo poseo la sabiduría cuando me atrevo a contradecir a otros. Pero, en realidad, lo que ocurre es que solo Dios es verdaderamente sabio, y, a través de este oráculo, solo ha querido indicar que la sabiduría humana vale muy poco o nada. No se refiere a Sócrates como individuo, sino que se sirve de mi nombre como un ejemplo, como si dijera: “De entre vosotros, oh, hombres, el más sabio es aquel que, como Sócrates, sabe que, en lo que a sabiduría se refiere, no vale nada”. Sigo realizando esta investigación, recorriendo la ciudad, examinando a los ciudadanos y a los extranjeros, en busca de aquellos que se consideran sabios, y, cuando veo que no lo son, me dedico a demostrarlo, actuando como un instrumento de Dios. A causa de esta dedicación, he carecido de tiempo para ocuparme seriamente de los asuntos de la ciudad ni de los de mi propia casa, y vivo en la más absoluta pobreza por mi servicio a Dios. Pero además de esto, veo que los jóvenes que me siguen espontáneamente, aquellos que tienen más tiempo libre porque provienen de familias acomodadas, encuentran placer escuchando cómo se somete a la gente a este tipo de examen, y muchos de ellos incluso me imitan, intentando llevar a cabo las mismas investigaciones con otras personas. Y, según creo, encuentran una multitud de gente que se cree saber algo, cuando en realidad no saben nada o saben muy poco. Y así, las personas que ellos examinan se irritan, no contra ellos, sino contra mí; y hablan de un tal Sócrates, al que describen como un hombre despreciable y que corrompe a la juventud. Si alguien les pregunta qué hace y qué enseña, no saben qué responder, porque lo desconocen. Pero, para no parecer confundidos, repiten todos los clichés que se dicen contra los amantes de la sabiduría: que investiga lo que ocurre en el cielo y en las profundidades de la tierra, que no cree en los dioses y que enseña a justificar argumentos falaces. La verdad, creo, no se atreven a decirla, y es que se sienten expuestos, como si estuvieran fingiendo tener conocimientos que en realidad no poseen. Pero, al ser personas orgullosas, apasionadas y numerosas, y al estar unidas y hablar de mí con tanta convicción, ya antes y ahora han llenado vuestros oídos con sus apasionadas calumnias. De entre ellos han surgido Meletos, Anitos y Licón; Meletos, ofendido por los poetas; Anitos, por los artesanos y los hombres de estado; y Licón, por los oradores. Como ya dije al principio, no me sorprendería que tardara tanto tiempo en acabar con una calumnia tan arraigada. Esta es, atenienses, la verdad, y no se la estoy ocultando ni la estoy suavizando ni un poco ni mucho. Soy consciente de que, precisamente por esto, me generaré más odio, pero eso servirá para demostrar que digo la verdad, que todo esto es una calumnia y que las razones son las que he expuesto. Y si ahora o más adelante examináis la cuestión con detenimiento, veréis que tengo razón.","Hona hemen itzulpena:

Ikerketa hauetan murgilduta, zeinak dedikazio handiz egin ditudan, etsaitasun ugari irabazi ditut, handiak eta arriskutsuak, eta horietatik kalumnia ugari sortu dira, baita jakintsuaren ospea ere. Jendeak uste baitu jakintsua naizela, beste batzuei aurre egiten ausartzen naizelako. Baina, egia esan, soilik Jainkoa da benetan jakintsua, eta, orakulu honen bidez, jakinduria humanoa oso gutxi edo ezer ez dela adierazi nahi izan du. Ez naiz Sócratesi buruz ari, baizik eta nire izena erabiltzen du adibide gisa, esango balu bezala: ""Zuek, gizonok, jakintsuena da Sócrates bezala, jakinduria kontuan hartuta, ezer ez dela balio duela dakiena"". Ikerketarekin jarraitzen dut, hiria zeharkatuz, hiritarrak eta atzerritarrak aztertuz, jakintsutzat dutenak aurkitzeko, eta, ikusten dudanean ez direla, frogatzen diet, Jainkoaren tresna gisa jokatuz. Ikerketa honen dedikazioagatik, ez dut astirik izan hiriko edo nire etxeko kontuez arduratzeko, eta Jainkoarentzat zerbitzatzen bizi naiz, erabateko pobrezian. Honez gain, ikusten dut gazteek bereziki jarraitzen nautela, denbora libre gehiago dutelako, familia aberatsetatik datozelako, plazera aurkitzen dute jendea mota honetako azterketara aurkezten denean entzutean, eta askok imitatzen naute, pertsona berberekin ikerketak egiten saiatuz. Eta, uste dut, jende asko aurkitzen dutela, zerbait dakitela uste dutenean,"
"Cuando la heredera fuera elegida, todos la desearían: si la hija menor se hiciera monja, ella podría casarse.","Testu hori euskaratuta honela geratuko litzateke:

Oinordekoa aukeratzen zutenean, denek nahiko lukete: alaba gazteenak moja egin nahi izanez gero, berak ezkondu ahal izango luke."
"Ernestina. Sí, Víctor; hubo un tiempo en que aquel esfuerzo de ambos me consolaba.","Ernestina. Bai, Víctor; garai batean, ahalegin hura biok batera egiteak kontsolatzen ninduen."
"Y con estas y muchas otras palabras logró convencer al mercader para que añadiera una onza más al precio del caballo, que, aunque destinado a las corridas de toros, terminó por no serle de utilidad al comprador, quien desistió del trato alegando mil excusas. Mientras tanto, el pobre Xato se desesperaba, tirándose de los cabellos, tanto por la pérdida del negocio como por los gritos de su esposa, quien le había advertido en numerosas ocasiones.","Testuaren itzulpena:

Eta hitz horiekin eta beste askorekin, lortu zuen merkatariari zaldiaren prezioari onza bat gehiago gehitzeko konbentzitzea, nahiz eta zezenketetarako pentsatua izan, azkenean erosleari ez zitzaion baliagarri izan, eta tratua bertan behera utzi zuen aitzakia ugari emanez. Bitartean, Xato pobreak etsipenez beteta zegoen, bere ileetatik tiraka, bai negozioaren galera zela eta, bai bere emaztearen oihuen ondorioz, hark hainbat aldiz ohartarazi baitzion."
"Pueblo, ¡estamos muy cerca! ¡Muere, Nicéforo!","Pueblo, oso gertu gaude! Hil zaitez, Nikéforo!"
"Blai la examinó por todas partes, y tomando con sus manos los dos extremos del desprendimiento, le dio un pequeño empujón que, inmediatamente después, provocó que algunas piedras se desprendieran y que se abrieran nuevas grietas alrededor de las que ya existían.","Blai la examinó por todas partes, eta hartu zituen eskuetan eroriaren bi muturrak; ondoren, txikitu egin zituen, eta horrek, berehala, harri batzuk askatu zituen eta zulo berriak ireki ziren lehendik zeuden zartaduren inguruan."
"Al ver el mundo abierto, las dos jóvenes se inclinaron sobre él, para examinar de cerca las cosas que contenía. Había una gran cantidad de objetos. Camisas bordadas, enaguas con volantes y encajes, vestidos de colores, de antes del luto por su abuelo, un abrigo de terciopelo, cajas con perfumes y algunas joyas de bisutería, junto con un reloj de oro de su madre, que, por suerte, había podido salvarse de la confiscación por parte de los acreedores.","Mundua ikustean, bi gazteak hurbildu ziren haren gainera, bertan zegoena gertutik aztertzeko. Objektu ugari zeuden. Jostundutako kamisetak, volante eta enkaiez apaindutako gona luzeak, aitona hil zenean janzten zituzten kolore biziko jantziak, tergalezko berokia, lurrin-kutxak eta bisuteriazko bitxiak, eta zorte onez, hartzailerengandik salbatu ahal izan zen urrezko erloju bat, amarena."
