doc_id,obra_id,author,title,year,lang,traduccio,variant,source_file,n_paragraphs
doc_000030,30,"Bertrana, Prudenci",Les ales d'Ernestina,1921,LIT,no,central,000030_Les_ales_d_Ernestina.out.txt,665
doc_000041,41,"Alcover, Joan",Poemes bíblics,1918,LIT,no,baleàric,000041_Poemes_biblics.out.txt,158
doc_000054,54,"Oller, Narcís",La papallona,1882,LIT,no,central,000054_La_papallona.out.txt,915
doc_000057,57,Anònim,La Xinxa,1869,LIT,no,central,000057_La_Xinxa.out.txt,1371
doc_000059,59,"Fius i Palà, Maurici",L'incéndi de Manresa,1890,LIT,no,central,000059_L_incendi_de_Manresa.out.txt,83
doc_000060,60,"Burguet i Codoñer, Joan Baptista",¿Ahon está el lladre?,1880,LIT,no,valencià,000060_Ahon_esta_el_lladre.out.txt,258
doc_000061,61,"Verdú, Josep; Palà Marquillas, Miquel M.",¡Tanner!,1880,LIT,no,central,000061_Tanner.out.txt,51
doc_000092,92,"Bofill i Mates, Jaume",L'altra concòrdia,1930,LIT,no,central,000092_L_altra_concordia.out.txt,205
doc_000093,93,"Rusiñol, Santiago",En Josepet de Sant Celoni,1917,LIT,no,central,000093_En_Josepet_de_Sant_Celoni.out.txt,567
doc_000098,98,"Rusiñol, Santiago",L'illa de la calma,1922,LIT,no,central,000098_L_illa_de_la_calma.out.txt,807
doc_000110,110,"Oller, Narcís",Rurals y urbanes,1916,LIT,no,central,000110_Rurals_y_urbanes.out.txt,903
doc_000113,113,"Bertrana, Prudenci",El meu amic Pellini,1923,LIT,no,central,000113_El_meu_amic_Pellini.out.txt,585
doc_000115,115,"Monserdà, Dolors",María Gloria,1917,LIT,no,central,000115_Maria_Gloria.out.txt,703
doc_000120,120,"Massó i Torrents, Jaume",Croquis pirenencs,1921,LIT,no,central,000120_Croquis_pirenencs.out.txt,625
doc_000128,128,"Corominas, Pere",Les gràcies de l'Empordà,1919,LIT,no,central,000128_Les_gracies_de_l_Emporda.out.txt,64
doc_000133,133,"Plana, Alexandre",A l'ombra de Santa Maria del Mar,1923,LIT,no,nord-occidental,000133_A_l_ombra_de_Santa_Maria_del_Mar.out.txt,517
doc_000134,134,"Ruyra, Joaquim",La parada,1919,LIT,no,central,000134_La_parada.out.txt,619
doc_000137,137,"Gener, Pompeu",La taverna intel·lectual,1917,LIT,no,central,000137_La_taverna_intellectual.out.txt,116
doc_000141,141,"Clascar, Frederic",L'Èxode,1925,LIT,sí,central,000141_L_exode.out.txt,815
doc_000145,145,"Corominas, Pere",Jardins de Sant Pol,1927,LIT,no,central,000145_Jardins_de_Sant_Pol.out.txt,348
doc_000146,146,"Bertrana, Prudenci",L'ós benemèrit i altres bèsties,1932,LIT,no,central,000146_L_os_benemerit_i_altres_besties.out.txt,370
doc_000147,147,"Clascar, Frederic",El Gènesi,1914,LIT,sí,central,000147_El_Genesi.out.txt,521
doc_000148,148,"Casellas, Raimon",Etapes estètiques,1916,LIT,no,central,000148_Etapes_estetiques.out.txt,312
doc_000151,151,"Clascar, Frederic",El Càntic dels Càntics de Salomó,1918,LIT,sí,central,000151_El_Cantic_dels_Cantics_de_Salomo.out.txt,118
doc_000153,153,"Corominas, Pere","Pina, la italiana del dancing",1933,LIT,no,central,000153_Pina_la_italiana_del_dancing.out.txt,293
doc_000154,154,"Rusiñol, Santiago",Màximes i mals pensaments,1927,LIT,no,central,000154_Maximes_i_mals_pensaments.out.txt,200
doc_000156,156,"Poal i Aragall, Miquel",Ço que deu ésser el feminisme,1915,LIT,no,central,000156_co_que_deu_esser_el_feminisme.out.txt,85
doc_000158,158,"Ruyra, Joaquim",L'idil·li d'en Temme,1920,LIT,no,central,000158_L_idilli_d_en_Temme.out.txt,323
doc_000159,159,"Collell, Jaume",Memories d'un noy de Vich,1908,LIT,no,central,000159_Memories_d_un_noy_de_Vich.out.txt,87
doc_000160,160,"Alcover, Joan",Cultura de llenguatge,1916,LIT,no,baleàric,000160_Cultura_de_llenguatge.out.txt,46
doc_000161,161,"Crexells, Joan","Diàlegs, I",1924,LIT,sí,central,000161_Dialegs_I.out.txt,493
doc_000164,164,"Bertrana, Prudenci",L'hereu,1931,LIT,no,central,000164_L_hereu.out.txt,947
doc_000169,169,"Raventós i Domènech, Jaume",Memòries d'un cabaler,1932,LIT,no,central,000169_Memories_d_un_cabaler.out.txt,1150
doc_000184,184,"Corominas, Pere","Les dites i facècies de l'estrenu filàntrop en Tomàs de Bajalta. II, Pigmalió",1928,LIT,no,central,000184_Les_dites_i_facecies_de_l_estrenu_filant.out.txt,743
doc_000223,223,"Ruyra, Joaquim",Les coses benignes,1925,LIT,no,central,000223_Les_coses_benignes.out.txt,454
doc_000378,378,"Pascual Tirado, Josep",De la meua garbera,1935,LIT,no,valencià,000378_De_la_meua_garbera.out.txt,1148
doc_000384,384,"Poblet, Josep Maria",Records vells i històries noves,1941,LIT,no,central,000384_Records_vells_i_histories_noves.out.txt,237
doc_000387,387,"Bertrana, Prudenci",L'impenitent,1948,LIT,no,central,000387_L_impenitent.out.txt,931
doc_001262,1262,"Maseras i Galtés, Alfons",Interpretacions i motius,1919,LIT,no,central,001262_Interpretacions_i_motius.out.txt,236
doc_001338,1338,"Maseras i Galtés, Alfons",La intel·ligència de les flors,1930,LIT,sí,central,001338_La_intelligencia_de_les_flors.out.txt,83
doc_001405,1405,"Corominas, Pere",L'esperit de finesa,1930,LIT,no,central,001405_L_esperit_de_finesa.out.txt,98
doc_002447,2447,"Iglésies i Guizard, Josep",Segarrenques,1917,LIT,no,central,002447_Segarrenques.out.txt,395
